model,segment_size,hidden_size,peak,time
sequential,1,192,5802.765625,56.03
sequential,1,208,6246.0,68.13
sequential,1,224,6689.74609375,72.50
sequential,1,240,7133.14453125,87.42
sequential,1,256,7578.21875,91.79
sequential,2,16,1100.01171875,2.29
sequential,2,32,1249.43359375,4.89
sequential,2,48,1545.24609375,7.84
sequential,2,64,1888.96875,10.39
sequential,2,80,2236.296875,15.25
sequential,2,96,2580.86328125,19.30
sequential,2,112,2925.75,27.17
sequential,2,128,3271.02734375,32.30
sequential,2,144,3616.64453125,38.60
sequential,2,160,3962.34375,43.81
sequential,2,176,4307.29296875,56.86
sequential,2,192,4652.57421875,67.67
sequential,2,208,4998.79296875,79.49
sequential,2,224,5347.625,87.87
sequential,2,240,5688.9296875,95.67
sequential,2,256,6034.6640625,112.65
sequential,3,16,1099.73046875,2.41
sequential,3,32,1249.13671875,4.37
sequential,3,48,1544.6640625,7.33
sequential,3,64,1890.4375,10.38
sequential,3,80,2235.859375,16.04
sequential,3,96,2580.421875,20.26
sequential,3,112,2925.3515625,26.60
sequential,3,128,3270.51953125,33.06
sequential,3,144,3616.28125,41.49
sequential,3,160,3962.0859375,46.56
sequential,3,176,4307.0625,56.90
sequential,3,192,4652.10546875,59.99
sequential,3,208,4998.078125,71.43
sequential,3,224,5342.59375,78.81
sequential,3,240,5688.49609375,90.93
sequential,3,256,6034.40625,98.56
sequential,4,16,981.0546875,2.09
sequential,4,32,1228.73046875,4.38
sequential,4,48,1569.41796875,7.38
sequential,4,64,1912.96484375,12.15
sequential,4,80,2260.15234375,16.44
sequential,4,96,2604.84375,21.73
sequential,4,112,2950.05859375,27.08
sequential,4,128,3294.76953125,32.51
sequential,4,144,3640.484375,41.34
sequential,4,160,3988.3125,48.84
sequential,4,176,4332.57421875,59.25
sequential,4,192,4679.40234375,70.77
sequential,4,208,5024.078125,83.26
sequential,4,224,5369.74609375,96.66
sequential,4,240,5715.859375,110.65
sequential,4,256,6061.8046875,129.95
sequential,5,16,981.21875,2.26
sequential,5,32,1228.8828125,4.58
sequential,5,48,1569.04296875,8.59
sequential,5,64,1913.31640625,12.16
sequential,5,80,2260.29296875,17.45
sequential,5,96,2605.1484375,22.50
sequential,5,112,2950.19140625,33.52
sequential,5,128,3294.84765625,38.69
sequential,5,144,3640.50390625,54.62
sequential,5,160,3987.3515625,62.38
sequential,5,176,4332.67578125,67.84
sequential,5,192,4678.1875,72.59
sequential,5,208,5023.328125,91.49
sequential,5,224,5369.69921875,96.09
sequential,5,240,5715.51171875,120.31
sequential,5,256,6061.63671875,133.06
